,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.044548318,0.04340093,0.041687857,0.038721807,0.034261525,0.028498024,0.021897227,0.015014917,0.008359596,0.0023212433,-0.002845496,-0.0070096627,-0.010137014,-0.012263648,-0.0134706125,-0.013865449,-0.013566442,-0.012694061,-0.011363223,-0.009679325,-0.007737428,-0.0056201667,-0.0033977926,-0.0011303425,0.0011333749,0.0033535361,0.005498603,0.007544063,0.009471364,0.0112673715,0.012922868,0.014432646,0.015794054,0.01700721,0.018073827,0.018997058,0.019781739,0.020432837,0.020956524,0.021359384,0.02164828,0.021829955,0.021911606,0.021900378,0.021802813,0.02162619,0.021377094,0.02106174,0.020687059,0.020258471,0.01978185,0.019262396,0.01870595,0.018117562,0.01750186,0.016862899,0.016205683,0.015533954,0.014851585,0.014161855,0.013468705,0.012775004,0.012083866,0.011397958,0.010720074,0.010052435,0.009397492,0.00875739,0.008134238,0.0075294226,0.0069451407,0.006382644,0.005843915,0.005329378,0.0048409887,0.0043795854,0.003946066,0.0035417117,0.0031669885,0.0028229393,0.002509959,0.00222864,0.0019798353,0.0017634779,0.0015805364,0.0014311448,0.0013149828,0.0012329966,0.0011848211,0.001170896,0.0011913627,0.0012459531,0.0013348088,0.0014576465,0.0016148612,0.001805827,0.002030626,0.0022892654,0.002580814,0.0029057562
1,0.040977284,0.041311026,0.042005636,0.042071484,0.040780142,0.037861727,0.03349019,0.028123938,0.022318013,0.016586237,0.011327945,0.0068081766,0.0031709895,0.00046353042,-0.0013369918,-0.0022996068,-0.0025197342,-0.0021055266,-0.0011671484,0.00018892437,0.0018643141,0.0037713796,0.0058330745,0.007983364,0.010167338,0.012339272,0.014462382,0.01650758,0.018452518,0.020280167,0.021978907,0.023540705,0.024961017,0.026237763,0.027371809,0.028364897,0.02922073,0.029943794,0.030539513,0.031014279,0.03137389,0.03162542,0.031775787,0.031831443,0.03179974,0.031686984,0.03150011,0.031245336,0.030928649,0.030556925,0.030135103,0.029668838,0.029164068,0.028624907,0.028056912,0.027464278,0.026851341,0.026222073,0.02558048,0.024930388,0.024274804,0.023617126,0.022960499,0.022307843,0.021661311,0.021023676,0.020397276,0.019784428,0.019186795,0.018606365,0.018044807,0.017504111,0.016985245,0.016489588,0.016018994,0.0155738965,0.015155427,0.01476521,0.014403198,0.014070563,0.013768077,0.013496339,0.01325573,0.0130467415,0.012869865,0.012725204,0.012613475,0.012534544,0.012488753,0.012476072,0.012496829,0.012550913,0.012638174,0.012758911,0.012913063,0.01310049,0.013320647,0.013573669,0.013859369,0.014177911
2,0.036835626,0.03774047,0.03991601,0.04238995,0.04413058,0.044381276,0.04285454,0.03971705,0.035426594,0.030544147,0.025592044,0.02098032,0.016987607,0.013770476,0.011389598,0.009833813,0.0090461,0.008941613,0.009422094,0.0103856325,0.011733547,0.013373964,0.015225299,0.017214917,0.019281782,0.021373719,0.023448452,0.025471635,0.027416326,0.029261328,0.030991793,0.03259681,0.034068927,0.035404205,0.036601946,0.03766235,0.038587764,0.039382324,0.040050045,0.040596776,0.04102815,0.041350633,0.04157062,0.04169534,0.041730396,0.04168333,0.041560367,0.041367784,0.041111715,0.040798336,0.040433265,0.040022142,0.039570294,0.039082818,0.038564064,0.03801927,0.037452407,0.036867462,0.036268607,0.035659358,0.035043098,0.03442342,0.033802792,0.03318452,0.032570913,0.03196492,0.031368703,0.030784294,0.030213594,0.029659033,0.029121645,0.028603658,0.028106533,0.02763106,0.027179182,0.02675198,0.026350148,0.025974654,0.025626712,0.025307067,0.025015958,0.024754591,0.024523206,0.02432251,0.024153009,0.024014324,0.023907758,0.02383285,0.023790367,0.023779824,0.023801714,0.023856476,0.023943111,0.024062723,0.024214387,0.02439849,0.024615318,0.024863891,0.025144443,0.025456682
3,0.032744706,0.03359948,0.036346182,0.040300846,0.044449896,0.04773263,0.049374975,0.04908216,0.047020353,0.043652743,0.03954929,0.035243757,0.03115882,0.027586289,0.024695784,0.022559635,0.021178968,0.020507082,0.020469263,0.020974867,0.021930493,0.023243688,0.024828508,0.026607849,0.028513968,0.030488424,0.032483116,0.03445796,0.036380455,0.038224995,0.03997273,0.041609228,0.043124452,0.044511557,0.04576782,0.04689171,0.047884673,0.0487487,0.049487747,0.050106153,0.05060987,0.051003993,0.051295266,0.051489733,0.051593594,0.05161374,0.051556297,0.051427506,0.051233627,0.05098088,0.05067435,0.05032,0.049923018,0.049488723,0.049021557,0.048526496,0.048007138,0.047468334,0.046913788,0.046347395,0.045772225,0.045191526,0.04460881,0.04402654,0.04344777,0.042874843,0.042309627,0.041755438,0.041213363,0.040685803,0.04017423,0.039680704,0.03920634,0.03875254,0.038320765,0.037912242,0.037527934,0.03716907,0.03683628,0.036530286,0.036252156,0.03600236,0.035781577,0.03559015,0.035428688,0.035297334,0.035196744,0.035127074,0.03508862,0.035081215,0.03510557,0.03516148,0.035248823,0.035367616,0.035518408,0.035700083,0.0359137,0.036158696,0.03643468,0.036741838
4,0.028955951,0.02950953,0.03220609,0.03673163,0.042361245,0.048052408,0.052727185,0.055603318,0.056385964,0.055246405,0.052657552,0.04920023,0.04542122,0.041756414,0.03851019,0.035864696,0.033903882,0.03263934,0.032034338,0.032021724,0.032519802,0.03344068,0.034698047,0.03621106,0.037906714,0.039720647,0.041598126,0.04349287,0.045366578,0.047189333,0.048936225,0.05058983,0.052136526,0.053566933,0.0548746,0.056057155,0.05711344,0.05804465,0.058853306,0.05954305,0.060118884,0.060584888,0.0609478,0.06121321,0.061387114,0.061475992,0.061485834,0.06142267,0.061292887,0.061102383,0.060856216,0.060560673,0.06022069,0.059841096,0.05942724,0.058983266,0.05851391,0.058023036,0.057514496,0.05699254,0.056459986,0.055920362,0.05537708,0.054832794,0.05429004,0.053751543,0.053219542,0.052696608,0.052184552,0.05168557,0.051201224,0.05073324,0.050283,0.04985252,0.049442224,0.0490537,0.048688434,0.048347116,0.048030563,0.047739863,0.047475547,0.047238544,0.047029242,0.04684852,0.04669621,0.046572983,0.04647986,0.046416342,0.046382844,0.046379834,0.04640723,0.046465278,0.046553835,0.04667315,0.046823233,0.047003977,0.0472152,0.047457173,0.047729537,0.04803186
5,0.025450304,0.025721446,0.02811715,0.03259264,0.03879261,0.045964316,0.05304744,0.058956057,0.06290766,0.0646125,0.064251125,0.06230806,0.059377097,0.056017794,0.052679233,0.049677975,0.047207877,0.04536351,0.04416561,0.04358636,0.04356634,0.044029586,0.044895045,0.046080858,0.047510117,0.04911352,0.05083038,0.052607432,0.054400936,0.056175,0.057899833,0.059552863,0.06111654,0.062578075,0.063928686,0.065162875,0.066277735,0.06727244,0.06814827,0.06890786,0.06955443,0.07009268,0.07052784,0.07086484,0.07110987,0.07126849,0.07134703,0.07135148,0.07128749,0.07116059,0.07097702,0.070742056,0.07046072,0.07013793,0.06977916,0.069388635,0.06897067,0.06852936,0.06806897,0.06759289,0.067104705,0.066608116,0.066105574,0.06560062,0.06509571,0.06459327,0.06409602,0.063606314,0.063125834,0.0626568,0.062201,0.061760098,0.061335385,0.06092888,0.0605418,0.060174897,0.05982974,0.059507415,0.059208497,0.058934018,0.0586851,0.0584618,0.058265164,0.058095858,0.057954267,0.05784042,0.057755403,0.05769922,0.057672083,0.057673983,0.057705484,0.057766534,0.057857156,0.05797816,0.058128566,0.058308914,0.058519013,0.05875873,0.0590277,0.059326775
6,0.022102669,0.022215977,0.024330214,0.028504997,0.034654632,0.042396188,0.050959468,0.059276477,0.066260666,0.07113448,0.0736174,0.073901825,0.07248445,0.069973044,0.06693962,0.06384605,0.06102018,0.058666468,0.056888796,0.05571693,0.055129997,0.05507555,0.055483714,0.056277208,0.057379216,0.058716558,0.060222708,0.0618392,0.06351553,0.06520891,0.066884905,0.06851558,0.07007885,0.07155724,0.07293928,0.07421616,0.07538257,0.07643569,0.07737513,0.07820195,0.078918256,0.07952772,0.080034666,0.08044385,0.08076052,0.080990404,0.081138946,0.08121203,0.08121519,0.08115445,0.08103508,0.08086227,0.08064137,0.08037767,0.08007572,0.07974008,0.07937552,0.07898563,0.078574836,0.078146756,0.077704914,0.07725244,0.0767928,0.07632901,0.07586338,0.07539883,0.07493786,0.074482635,0.074035265,0.073597714,0.07317168,0.07275939,0.07236214,0.07198114,0.07161826,0.071274325,0.07095066,0.0706484,0.0703686,0.070111774,0.06987903,0.06967109,0.06948846,0.06933168,0.06920162,0.06909846,0.069022894,0.068974614,0.06895453,0.068962805,0.06899944,0.0690646,0.06915872,0.069281675,0.06943354,0.06961406,0.06982372,0.0700622,0.070329525,0.07062518
7,0.018806502,0.018867686,0.020825192,0.02471906,0.030568272,0.038259223,0.047392175,0.05718884,0.06658094,0.07448749,0.0801396,0.0832679,0.08407781,0.083079666,0.080894046,0.07810544,0.07518692,0.072477594,0.07019067,0.06843899,0.0672598,0.06663863,0.06652891,0.066865176,0.06757547,0.068585336,0.069825366,0.07123125,0.07274673,0.074322775,0.075918436,0.07750025,0.07904082,0.080518894,0.08191789,0.08322593,0.084435,0.08553977,0.08653754,0.08742768,0.088211216,0.088890344,0.089468405,0.08994957,0.090338394,0.0906402,0.09085989,0.09100295,0.091074996,0.09108149,0.09102764,0.09091923,0.09076086,0.090557754,0.09031449,0.090035975,0.08972646,0.089390114,0.08903074,0.08865225,0.08825852,0.087852284,0.087436885,0.08701597,0.08659156,0.08616631,0.08574309,0.08532393,0.084911406,0.08450668,0.084112465,0.08373001,0.083361186,0.08300755,0.08267013,0.08235062,0.08204994,0.081769,0.08150937,0.08127152,0.08105668,0.080864966,0.080697455,0.080554694,0.08043738,0.0803456,0.08028043,0.08024141,0.08022982,0.08024536,0.080287814,0.0803585,0.08045702,0.08058304,0.08073664,0.0809188,0.081128955,0.08136698,0.081632905,0.08192653
8,0.015521899,0.015570506,0.017477378,0.021215037,0.02678366,0.034174144,0.04325582,0.05362153,0.064493254,0.07480763,0.083492145,0.08978964,0.09344373,0.09467285,0.09400043,0.09205898,0.08944543,0.08664359,0.08400068,0.08173997,0.07998098,0.07876749,0.07809128,0.07790985,0.07816283,0.078781046,0.07969376,0.08083361,0.08213813,0.08355338,0.085031524,0.08653314,0.08802473,0.08947994,0.09087821,0.09220347,0.093443796,0.094590925,0.09564046,0.096588805,0.0974357,0.09818208,0.09882991,0.099382326,0.09984336,0.10021686,0.100508764,0.10072269,0.10086475,0.100940205,0.10095398,0.10091123,0.100816965,0.10067634,0.10049388,0.100274265,0.10002182,0.0997406,0.09943454,0.09910749,0.09876349,0.098405324,0.09803646,0.097659715,0.0972781,0.096893996,0.09651029,0.0961288,0.09575231,0.095382676,0.09502124,0.0946705,0.094331786,0.09400664,0.09369643,0.09340262,0.093126066,0.09286824,0.09262999,0.09241252,0.092216164,0.09204225,0.09189089,0.09176339,0.09166,0.091581024,0.09152731,0.09149924,0.09149676,0.09152033,0.09157044,0.091647014,0.09175031,0.09188057,0.092037916,0.09222213,0.09243367,0.09267196,0.09293744,0.09323002
9,0.012267008,0.01228486,0.0141801685,0.017867908,0.023280963,0.030390784,0.039171845,0.049486026,0.06092617,0.072719336,0.08381158,0.09314184,0.09996526,0.10403836,0.105593055,0.10516487,0.10339854,0.10090109,0.09816575,0.09554916,0.09328097,0.09148794,0.09021935,0.08947158,0.089206785,0.08936784,0.089888394,0.090701014,0.09173979,0.09294445,0.094261736,0.09564558,0.09705673,0.09846328,0.09983867,0.10116298,0.102420084,0.10359889,0.10469078,0.10569061,0.1065959,0.10740563,0.1081206,0.10874288,0.10927487,0.10972054,0.11008453,0.11037054,0.11058399,0.11072931,0.11081209,0.11083663,0.11080841,0.110731974,0.11061186,0.11045305,0.110259324,0.11003515,0.109784596,0.10951116,0.10921863,0.10891011,0.1085892,0.10825868,0.107921496,0.10758032,0.10723755,0.10689579,0.106557086,0.10622335,0.105896786,0.10557892,0.105271846,0.10497681,0.10469517,0.10442825,0.10417763,0.103943944,0.10372867,0.10353281,0.10335656,0.10320155,0.10306807,0.1029568,0.10286861,0.10280361,0.102762714,0.10274603,0.10275392,0.10278697,0.102845274,0.10292894,0.10303867,0.10317425,0.10333542,0.10352315,0.10373656,0.10397644,0.104242355,0.10453449
